,Name,url,Location,Summary Reputation,Active From,Answers,Top Meta Posts
0,Jon Skeet,https://stackoverflow.com/users/22656/jon-skeet,"Reading, United Kingdom","1,374,170","Member for 14 years, 2 months",Why is subtracting these two times (in 1927) giving a strange result?,"Congratulations for reaching a million, Gordon Linoff!"
1,Gordon Linoff,https://stackoverflow.com/users/1144035/gordon-linoff,"New York, United States","1,220,031","Member for 10 years, 11 months",How do I put an 'if clause' in an SQL string?,Is asking reasons for downvote in comments non-constructive?
2,VonC,https://stackoverflow.com/users/6309/vonc,France,"1,175,550","Member for 14 years, 3 months",How do I remove a submodule?,Congratulations VonC for reaching a million reputation
3,BalusC,https://stackoverflow.com/users/157882/balusc,"Willemstad, Curaçao","1,061,840","Member for 13 years, 4 months",Examples of GoF Design Patterns in Java's core libraries,Rename [java-ee] to [jakarta-ee]
4,Darin Dimitrov,https://stackoverflow.com/users/29407/darin-dimitrov,"Sofia, Bulgaria","1,008,816","Member for 14 years, 2 months",Calculate the execution time of a method,Who has the power to delete a comment?
5,Martijn Pieters,https://stackoverflow.com/users/100297/martijn-pieters,♦,"1,001,737","Member for 13 years, 7 months","Why is ""1000000000000000 in range(1000000000000001)"" so fast in Python 3?",How to reduce image size on Stack Overflow
6,Marc Gravell,https://stackoverflow.com/users/23354/marc-gravell,"Forest of Dean, United Kingdom","1,000,218","Member for 14 years, 2 months",Why is it important to override GetHashCode when Equals method is overridden?,Why does my Stack Overflow for Teams URL start with a /c/?
7,T.J. Crowder,https://stackoverflow.com/users/157247/t-j-crowder,United Kingdom,"996,477","Member for 13 years, 4 months",Loop over an array in JavaScript,"I've been told to create a ""runnable"" example with ""Stack Snippets"". How do I do that?"
8,CommonsWare,https://stackoverflow.com/users/115145/commonsware,"Pennsylvania, United States","970,809","Member for 13 years, 6 months",Where to place the 'assets' folder in Android Studio?,User's political display name triggering government action against users who view it - what should I do?
9,Greg Hewgill,https://stackoverflow.com/users/893/greg-hewgill,"Christchurch, New Zealand","920,672","Member for 14 years, 4 months",What is the difference between 'git pull' and 'git fetch'?,I was recently asked for my Stack Overflow reputation score in a job interview. Is that appropriate?
10,Hans Passant,https://stackoverflow.com/users/17034/hans-passant,"Madison, WI","909,704","Member for 14 years, 3 months","How do I remedy ""The breakpoint will not currently be hit. No symbols have been loaded for this document."" warning?","On large communities decaying over time, being nice or mean, and Stack Overflow"
11,Quentin,https://stackoverflow.com/users/19068/quentin,United Kingdom,"886,528","Member for 14 years, 3 months","Get the values from the ""GET"" parameters (JavaScript)",What to do with new answers that just repeat old ones?
12,SLaks,https://stackoverflow.com/users/34397/slaks,New Jersey,"852,794","Member for 14 years, 1 month",How do I check if string contains substring?,What's the font used in code blocks?
13,akrun,https://stackoverflow.com/users/3732271/akrun,,"837,851","Member for 8 years, 6 months",Change value of variable with dplyr,What should we do when one person tries to delete every duplicate?
14,paxdiablo,https://stackoverflow.com/users/14860/paxdiablo,,"833,325","Member for 14 years, 3 months",Find and kill a process in one line using bash and regex,Get more questions on front page when ignoring tags
15,Alex Martelli,https://stackoverflow.com/users/95810/alex-martelli,"Sunnyvale, CA","832,664","Member for 13 years, 7 months",How do I make a flat list out of a list of lists?,Mac OS X: at command not working
16,unutbu,https://stackoverflow.com/users/190597/unutbu,,"809,705","Member for 13 years, 2 months",How do I select rows from a DataFrame based on column values?,Are self-answered questions with a very narrow scope on-topic?
17,Christian C. Salvadó,https://stackoverflow.com/users/5445/christian-c-salvad%c3%b3,Guatemala,"789,834","Member for 14 years, 3 months",Loop through an array in JavaScript,Stack Exchange's rich text editor -- is it available somewhere?
18,Mark Byers,https://stackoverflow.com/users/61974/mark-byers,Denmark,"789,598","Member for 13 years, 10 months",How do I strip all spaces out of a string in PHP?,Are high-reputation users answering fewer questions?
19,jezrael,https://stackoverflow.com/users/2901002/jezrael,"Bratislava, Slovakia","777,920","Member for 9 years, 2 months",How to copy files,Keyboard shortcuts in editor in SO
20,Felix Kling,https://stackoverflow.com/users/218196/felix-kling,Germany,"777,185",Member for 13 years,How do I return the response from an asynchronous call?,Should we burninate this tag [once] and for all?
21,Ignacio Vazquez-Abrams,https://stackoverflow.com/users/20862/ignacio-vazquez-abrams,,"758,040","Member for 14 years, 2 months",Random string generation with upper case letters and digits,How to find files with certain text in the Terminal
22,anubhava,https://stackoverflow.com/users/548225/anubhava,"Bangalore, India","742,071",Member for 12 years,Loop through an array of strings in Bash?,What prevents rm /dev/null?
23,CB Bailey,https://stackoverflow.com/users/19563/cb-bailey,United Kingdom,"726,073","Member for 14 years, 3 months","How do I make Git forget about a file that was tracked, but is now in .gitignore?",Are high-reputation users answering fewer questions?
24,JaredPar,https://stackoverflow.com/users/23283/jaredpar,"Redmond, WA","718,355","Member for 14 years, 2 months",How to determine the URL that a local Git repository was originally cloned from,Turning off the cmd window beep sound
25,marc_s,https://stackoverflow.com/users/13302/marc-s,"Bern, Switzerland","718,271","Member for 14 years, 3 months",Get size of all tables in database,How to query last restore date in SQL Server?
26,Jonathan Leffler,https://stackoverflow.com/users/15168/jonathan-leffler,"Colorado, USA","714,225","Member for 14 years, 3 months",How do I use extern to share variables between source files?,Stack Overflow should not invite you to move a discussion to chat when one of the participants doesn't have enough reputation
27,Barmar,https://stackoverflow.com/users/1491895/barmar,"Arlington, MA","708,734","Member for 10 years, 5 months","What does ""for"" attribute do in an HTML <label> tag?",Remind users to check web console before submitting JavaScript questions
28,Sergey Kalinichenko,https://stackoverflow.com/users/335858/sergey-kalinichenko,United States,"706,200","Member for 12 years, 7 months","Difference between @Before, @BeforeClass, @BeforeEach and @BeforeAll",Reduce usefulness of posting spam to Stack Overflow
29,Stephen C,https://stackoverflow.com/users/139985/stephen-c,Australia,"683,429","Member for 13 years, 5 months","What does ""Could not find or load main class"" mean?",Is SO suffering from its own success?
30,BoltClock,https://stackoverflow.com/users/106224/boltclock,Singapore,"682,282","Member for 13 years, 7 months",Remove empty array elements,Is it OK to flag my own question because I want someone to answer it?
31,Guffa,https://stackoverflow.com/users/69083/guffa,"Virsbo, Sweden","677,010","Member for 13 years, 10 months",How do I generate a random integer in C#?,How does SE remember my preferences without a POST but just a GET?
32,JB Nizet,https://stackoverflow.com/users/571407/jb-nizet,"Saint-Etienne, France","668,144","Member for 11 years, 11 months",Mockito test a void method throws an exception,Posts flickers if text is selected
33,jfriend00,https://stackoverflow.com/users/816620/jfriend00,,"661,834","Member for 11 years, 5 months",Vanilla JavaScript equivalent of jQuery's $.ready() - how to call a function when the page/DOM is ready for it,How can we make sure that new posters know that they should remain available over the next 30-60 mins after posting?
34,Eric Lippert,https://stackoverflow.com/users/88656/eric-lippert,"Seattle, WA","639,267","Member for 13 years, 8 months",Can a local variable's memory be accessed outside its scope?,"Is asking ""why"" on language specifications still considered as ""primarily opinion-based"" if it can have official answers?"
35,Gumbo,https://stackoverflow.com/users/53114/gumbo,"Ulm, Germany","632,243","Member for 13 years, 11 months",Which JSON content type do I use?,Merge [injection] into [code-injection]
36,Jon Skeet,https://stackoverflow.com/users/22656/jon-skeet,"Reading, United Kingdom","1,374,170","Member for 14 years, 2 months",Why is subtracting these two times (in 1927) giving a strange result?,"Congratulations for reaching a million, Gordon Linoff!"
37,Gordon Linoff,https://stackoverflow.com/users/1144035/gordon-linoff,"New York, United States","1,220,031","Member for 10 years, 11 months",How do I put an 'if clause' in an SQL string?,Is asking reasons for downvote in comments non-constructive?
38,VonC,https://stackoverflow.com/users/6309/vonc,France,"1,175,550","Member for 14 years, 3 months",How do I remove a submodule?,Congratulations VonC for reaching a million reputation
39,BalusC,https://stackoverflow.com/users/157882/balusc,"Willemstad, Curaçao","1,061,840","Member for 13 years, 4 months",Examples of GoF Design Patterns in Java's core libraries,Rename [java-ee] to [jakarta-ee]
40,Darin Dimitrov,https://stackoverflow.com/users/29407/darin-dimitrov,"Sofia, Bulgaria","1,008,816","Member for 14 years, 2 months",Calculate the execution time of a method,Who has the power to delete a comment?
41,Martijn Pieters,https://stackoverflow.com/users/100297/martijn-pieters,♦,"1,001,737","Member for 13 years, 7 months","Why is ""1000000000000000 in range(1000000000000001)"" so fast in Python 3?",How to reduce image size on Stack Overflow
42,Marc Gravell,https://stackoverflow.com/users/23354/marc-gravell,"Forest of Dean, United Kingdom","1,000,218","Member for 14 years, 2 months",Why is it important to override GetHashCode when Equals method is overridden?,Why does my Stack Overflow for Teams URL start with a /c/?
43,T.J. Crowder,https://stackoverflow.com/users/157247/t-j-crowder,United Kingdom,"996,477","Member for 13 years, 4 months",Loop over an array in JavaScript,"I've been told to create a ""runnable"" example with ""Stack Snippets"". How do I do that?"
44,CommonsWare,https://stackoverflow.com/users/115145/commonsware,"Pennsylvania, United States","970,809","Member for 13 years, 6 months",Where to place the 'assets' folder in Android Studio?,User's political display name triggering government action against users who view it - what should I do?
45,Greg Hewgill,https://stackoverflow.com/users/893/greg-hewgill,"Christchurch, New Zealand","920,672","Member for 14 years, 4 months",What is the difference between 'git pull' and 'git fetch'?,I was recently asked for my Stack Overflow reputation score in a job interview. Is that appropriate?
46,Hans Passant,https://stackoverflow.com/users/17034/hans-passant,"Madison, WI","909,704","Member for 14 years, 3 months","How do I remedy ""The breakpoint will not currently be hit. No symbols have been loaded for this document."" warning?","On large communities decaying over time, being nice or mean, and Stack Overflow"
47,Quentin,https://stackoverflow.com/users/19068/quentin,United Kingdom,"886,528","Member for 14 years, 3 months","Get the values from the ""GET"" parameters (JavaScript)",What to do with new answers that just repeat old ones?
48,SLaks,https://stackoverflow.com/users/34397/slaks,New Jersey,"852,794","Member for 14 years, 1 month",How do I check if string contains substring?,What's the font used in code blocks?
49,akrun,https://stackoverflow.com/users/3732271/akrun,,"837,851","Member for 8 years, 6 months",Change value of variable with dplyr,What should we do when one person tries to delete every duplicate?
50,paxdiablo,https://stackoverflow.com/users/14860/paxdiablo,,"833,325","Member for 14 years, 3 months",Find and kill a process in one line using bash and regex,Get more questions on front page when ignoring tags
51,Alex Martelli,https://stackoverflow.com/users/95810/alex-martelli,"Sunnyvale, CA","832,664","Member for 13 years, 7 months",How do I make a flat list out of a list of lists?,Mac OS X: at command not working
52,unutbu,https://stackoverflow.com/users/190597/unutbu,,"809,705","Member for 13 years, 2 months",How do I select rows from a DataFrame based on column values?,Are self-answered questions with a very narrow scope on-topic?
53,Christian C. Salvadó,https://stackoverflow.com/users/5445/christian-c-salvad%c3%b3,Guatemala,"789,834","Member for 14 years, 3 months",Loop through an array in JavaScript,Stack Exchange's rich text editor -- is it available somewhere?
54,Mark Byers,https://stackoverflow.com/users/61974/mark-byers,Denmark,"789,598","Member for 13 years, 10 months",How do I strip all spaces out of a string in PHP?,Are high-reputation users answering fewer questions?
55,jezrael,https://stackoverflow.com/users/2901002/jezrael,"Bratislava, Slovakia","777,920","Member for 9 years, 2 months",How to copy files,Keyboard shortcuts in editor in SO
56,Felix Kling,https://stackoverflow.com/users/218196/felix-kling,Germany,"777,185",Member for 13 years,How do I return the response from an asynchronous call?,Should we burninate this tag [once] and for all?
57,Ignacio Vazquez-Abrams,https://stackoverflow.com/users/20862/ignacio-vazquez-abrams,,"758,040","Member for 14 years, 2 months",Random string generation with upper case letters and digits,How to find files with certain text in the Terminal
58,anubhava,https://stackoverflow.com/users/548225/anubhava,"Bangalore, India","742,071",Member for 12 years,Loop through an array of strings in Bash?,What prevents rm /dev/null?
59,CB Bailey,https://stackoverflow.com/users/19563/cb-bailey,United Kingdom,"726,073","Member for 14 years, 3 months","How do I make Git forget about a file that was tracked, but is now in .gitignore?",Are high-reputation users answering fewer questions?
60,JaredPar,https://stackoverflow.com/users/23283/jaredpar,"Redmond, WA","718,355","Member for 14 years, 2 months",How to determine the URL that a local Git repository was originally cloned from,Turning off the cmd window beep sound
61,marc_s,https://stackoverflow.com/users/13302/marc-s,"Bern, Switzerland","718,271","Member for 14 years, 3 months",Get size of all tables in database,How to query last restore date in SQL Server?
62,Jonathan Leffler,https://stackoverflow.com/users/15168/jonathan-leffler,"Colorado, USA","714,225","Member for 14 years, 3 months",How do I use extern to share variables between source files?,Stack Overflow should not invite you to move a discussion to chat when one of the participants doesn't have enough reputation
63,Barmar,https://stackoverflow.com/users/1491895/barmar,"Arlington, MA","708,734","Member for 10 years, 5 months","What does ""for"" attribute do in an HTML <label> tag?",Remind users to check web console before submitting JavaScript questions
64,Sergey Kalinichenko,https://stackoverflow.com/users/335858/sergey-kalinichenko,United States,"706,210","Member for 12 years, 7 months","Difference between @Before, @BeforeClass, @BeforeEach and @BeforeAll",Reduce usefulness of posting spam to Stack Overflow
65,Stephen C,https://stackoverflow.com/users/139985/stephen-c,Australia,"683,429","Member for 13 years, 5 months","What does ""Could not find or load main class"" mean?",Is SO suffering from its own success?
66,BoltClock,https://stackoverflow.com/users/106224/boltclock,Singapore,"682,282","Member for 13 years, 7 months",Remove empty array elements,Is it OK to flag my own question because I want someone to answer it?
67,Guffa,https://stackoverflow.com/users/69083/guffa,"Virsbo, Sweden","677,010","Member for 13 years, 10 months",How do I generate a random integer in C#?,How does SE remember my preferences without a POST but just a GET?
68,JB Nizet,https://stackoverflow.com/users/571407/jb-nizet,"Saint-Etienne, France","668,144","Member for 11 years, 11 months",Mockito test a void method throws an exception,Posts flickers if text is selected
69,jfriend00,https://stackoverflow.com/users/816620/jfriend00,,"661,834","Member for 11 years, 5 months",Vanilla JavaScript equivalent of jQuery's $.ready() - how to call a function when the page/DOM is ready for it,How can we make sure that new posters know that they should remain available over the next 30-60 mins after posting?
70,Eric Lippert,https://stackoverflow.com/users/88656/eric-lippert,"Seattle, WA","639,267","Member for 13 years, 8 months",Can a local variable's memory be accessed outside its scope?,"Is asking ""why"" on language specifications still considered as ""primarily opinion-based"" if it can have official answers?"
71,Gumbo,https://stackoverflow.com/users/53114/gumbo,"Ulm, Germany","632,243","Member for 13 years, 11 months",Which JSON content type do I use?,Merge [injection] into [code-injection]
